,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Money transfer from Wells Fargo,xacggd,/company/Intel/,nan,"I need to transfer money  to my Discover savings account from Wells Fargo. Is there a maximum dollar limit per transaction? If so, how much? I think it will be treated as a ACH transfer.",0,4,2019-1-12 05:22:26,/post/Money-transfer-from-Wells-Fargo-r3QfTrZO,Wells-Fargo
0,Wells Fargo Analytical Consultant vs Quant Analy. Consultant?,vsQv28,/company/TD/,nan,"What’s the difference between the two jobs? I have an interview for Analytical Consultant 5 they said base is around $125K in Charlotte. A differnr recruiter from Wells wants to interview me for Quant Analytics Consultant 1 and he didn’t tell me the salary, so no clue what to expect.What are the main differences between the two in term of job tracks and pay?",2,13,2019-11-7 00:49:16,/post/Wells-Fargo-Analytical-Consultant-vs-Quant-Analy-Consultant-YRJTzPL1,Wells-Fargo
0,Looking for a Well Fargo referral,bernedette,/company/VMware/,nan,I found a very relevant opening at Well fargo (US). Can someone help with a referral?#wellsfargo,1,7,2021-2-27 19:49:28,/post/Looking-for-a-Well-Fargo-referral-bcAyZqfn,Wells-Fargo
0,What's it like at Wells Fargo?,C7BnRT,/company/Goldman-Sachs/,nan,"Give all the shit that's been going on with the CEO, how are you all doing? Is it business as usual?",1,21,2019-4-7 22:12:00,/post/Whats-it-like-at-Wells-Fargo-dUqytPkb,Wells-Fargo
0,Wells Fargo Senior Associate Salary NYC,AB23616,/company/JPMorgan/,nan,Have an interview this week. Looking for the salary range. 3 YOE. #interview #finance,2,3,2021-2-15 16:56:59,/post/Wells-Fargo-Senior-Associate-Salary-NYC-zQE4Mj6F,Wells-Fargo
0,Wells Fargo India project manager,garuda020,/company/Johnson-Controls/,Project,"Hello all,My journey in getting a job back after being furloughed recently continues and the new milestone is an interview coming up for wells fargo India as a project manager 5. The questions I have are1. What are the pm levels like?2. What kind of interview rounds can I expect after the initial phone screen?3. What is the compensation looking like?TC: 110KYOE: 12Thank you in advance of all the help. I hope soon I can return this favor. #tech #interview #pm",2,2,2020-7-23 15:37:46,/post/Wells-Fargo-India-project-manager-eW6kAyJ2,Wells-Fargo
0,Wells fargo Technology Manager 4 onsite,kp1857,/company/Oracle/,Eng,Hey folks I have onsite interview with Wells Fargo on coming Monday in Bangalore for TM 4 Any tips on what to expect ?Yoe 17+TC USD 110K,0,4,2020-3-4 19:12:03,/post/Wells-fargo-Technology-Manager-4-onsite-5oX6bEvp,Wells-Fargo
0,wells fargo advisor has coronavirus in SF....,N5SjqC,/company/Morgan-Stanley/,nan,"https://brokerchalk.com/breaking-confirmed-wells-fargo-advisors-coronavirus-case-in-san-francisco-branch/Don't go here, if you were planning too.",1,4,2020-3-9 21:32:06,/post/wells-fargo-advisor-has-coronavirus-in-SF-vtrDv0hh,Wells-Fargo
0,Is Wells Fargo the worst bank in America?,leoa71,/company/Goldman-Sachs/,nan,This is brutal 😂😂https://www.google.com/amp/s/gizmodo.com/wells-fargo-america-s-worst-bank-decides-it-s-time-to-1840975091/amp,4,3,2020-1-15 00:56:34,/post/Is-Wells-Fargo-the-worst-bank-in-America-cm4EhPX3,Wells-Fargo
0,Bank with Wells Fargo or Credit Union,NoodleLu,nan,Mktg,I just relocated from NC to GA and I am considering switching banks. Should I stick with WF or switch to a local credit union?,0,8,2019-10-22 13:24:59,/post/Bank-with-Wells-Fargo-or-Credit-Union-RUVup8i8,Wells-Fargo
